DangKyID,HocVienID,LopID,Target_BoHoc,TyLeChuyenCan_NuaDau,SoBuoiVang_NuaDau,SoBuoiVangDau,DiemGiuaKy,KetQuaGiuaKy,SoNgayDangKySom,TuoiHocVien,KhoaHocID,GiangVienID,DiaDiemID
18385,9477,268,0,0.9,1,0,5.6,1,5,16,1,4,16
15301,9176,163,0,1,0,0,7.1,1,10,22,2,1,16
16749,9083,214,0,1,0,0,6.6,1,25,21,1,7,16
16027,9599,189,0,0.6,4,2,7,1,17,22,1,1,16
18842,8179,286,1,0.75,3,0,3.1,0,20,26,3,1,15
15486,9402,169,0,0.916666,1,0,8,1,6,17,4,10,2
16217,8510,193,0,0.9,1,1,7.8,1,8,26,1,7,16
15607,9812,174,0,0.9,1,0,7.6,1,9,20,1,8,5
17108,9488,224,0,0.916666,1,0,6.7,1,7,23,3,7,16
19097,9254,294,0,0.8,3,0,9.7,1,8,21,5,4,14
17802,9799,247,0,0.7,3,2,5.6,1,9,24,2,6,1
18654,8211,279,0,1,0,0,3.4,0,6,14,5,2,10
18866,9476,287,0,1,0,0,9.7,1,26,18,3,1,10
18416,9074,269,0,1,0,0,4.7,0,9,26,2,5,1
18998,8639,291,1,0.7,3,0,6.5,1,17,28,2,8,6
15822,8751,183,0,1,0,0,8.1,1,15,20,3,2,1
16305,9160,198,0,0.933333,1,0,4.4,0,5,16,5,3,14
18197,9017,263,0,1,0,0,3.5,0,28,21,4,5,11
17139,9727,226,0,0.866666,2,0,5.1,1,14,13,5,10,13
18285,9860,266,0,0.8,2,0,7.8,1,8,17,1,2,7
16199,8522,193,0,0.8,2,1,6.6,1,29,28,1,7,16
15756,8804,181,0,0.666666,4,2,4.1,0,13,25,4,2,3
16099,8639,191,0,0.933333,1,0,8.7,1,23,28,5,9,14
17707,8832,246,1,0.7,3,0,4.5,0,15,16,1,9,16
17963,9125,253,1,0.6,4,1,8.3,1,21,18,1,2,11
18763,8091,283,0,0.833333,2,0,4.9,0,9,26,4,6,7
18952,9491,288,0,0.833333,2,1,4.6,0,3,18,4,3,16
16610,8365,210,0,0.9,1,1,3.1,0,2,22,1,4,10
17064,8391,224,0,0.916666,1,1,8.8,1,19,17,3,7,16
19237,8924,300,0,0.9,1,0,9.2,1,25,18,2,1,2
15401,8164,165,0,0.916666,1,0,3.9,0,10,20,3,1,6
17784,8293,246,1,0.6,4,2,5.2,1,7,23,1,9,16
18743,8630,283,0,0.833333,2,0,4.6,0,8,23,4,6,7
15816,9969,183,0,0.916666,1,0,5.7,1,14,20,3,2,1
15360,9283,163,0,1,0,0,6.2,1,23,25,2,1,16
15396,8999,164,0,0.8,2,0,9.3,1,14,15,2,5,9
16605,8294,210,0,0.8,2,0,5.4,1,17,21,1,4,10
17927,9720,252,0,0.866666,2,0,5,1,19,21,5,7,4
15316,9988,163,1,0.6,4,1,9.7,1,28,25,2,1,16
15215,9370,159,0,1,0,0,6.9,1,27,16,4,8,5
17322,8578,232,0,1,0,0,5.7,1,28,29,5,3,1
19144,9394,297,0,1,0,0,6.1,1,23,28,1,3,12
17075,9635,224,0,0.916666,1,1,9,1,5,20,3,7,16
18631,9490,278,1,0.7,3,1,5.3,1,12,23,1,4,2
18822,9783,285,0,1,0,0,4.7,0,24,27,2,4,13
15168,9654,158,1,0.7,3,0,3.2,0,9,16,2,2,11
16753,8233,214,1,0.5,5,3,9.6,1,10,27,1,7,16
15604,9228,174,1,0.8,2,0,6.6,1,9,28,1,8,5
18425,9238,269,0,0.9,1,0,8.8,1,7,26,2,5,1
16220,8359,194,0,0.9,1,1,4.9,0,28,29,2,9,15
18495,8229,272,0,1,0,0,4.2,0,11,17,1,7,6
19257,9908,301,0,0.8,2,0,9.8,1,12,22,2,1,14
19103,8635,295,0,1,0,0,8.4,1,15,22,3,7,15
16383,8880,201,0,0.916666,1,1,5.8,1,1,29,4,5,15
18509,8484,273,0,0.9,1,1,8.8,1,7,15,2,7,6
18662,9994,279,0,0.933333,1,0,7.3,1,24,14,5,2,10
18706,8902,282,0,1,0,0,5.5,1,2,25,1,6,11
18917,9681,288,1,0.416666,7,0,4.2,0,11,22,4,3,16
17477,8973,236,0,0.833333,2,0,5.4,1,10,22,4,10,6
16420,8463,202,0,0.9,1,0,6.4,1,21,26,1,8,2
19268,9452,301,0,1,0,0,3.7,0,12,25,2,1,14
15456,8802,167,0,1,0,0,6.4,1,26,29,2,7,12
18516,9645,273,0,0.8,2,0,8.7,1,9,18,2,7,6
19193,9937,299,0,0.9,1,0,9,1,26,26,1,3,5
16233,9793,194,0,0.9,1,1,6.5,1,4,19,2,9,15
17368,9926,234,0,1,0,0,9.5,1,20,26,3,6,16
16817,8530,217,0,0.8,2,1,5.2,1,23,14,2,7,13
15083,8542,154,0,0.733333,4,1,7.1,1,8,24,5,1,1
18739,8387,282,0,0.9,1,1,3,0,22,28,1,6,11
19041,9538,293,0,0.866666,2,0,5.6,1,24,18,5,10,11
15572,9482,171,0,0.933333,1,0,3.6,0,23,20,5,8,5
16800,8477,216,0,0.933333,1,1,4.3,0,20,18,5,9,4
16033,8825,189,0,0.9,1,0,4,0,27,15,1,1,16
19201,8705,299,0,0.9,1,0,9.8,1,4,16,1,3,5
17903,8605,250,0,0.9,1,1,3.6,0,21,19,1,3,11
18054,9793,257,0,1,0,0,3.4,0,8,18,3,8,10
17103,8403,224,0,0.666666,4,0,5.1,1,14,15,3,7,16
17576,9882,241,1,0.583333,5,0,3.2,0,12,18,4,1,9
15271,9108,161,0,1,0,0,7.3,1,5,20,5,8,3
17929,9364,252,0,0.866666,2,0,9.6,1,17,14,5,7,4
15354,9639,163,1,0.6,4,0,5,1,23,24,2,1,16
16564,9819,208,0,0.8,2,1,6.6,1,20,28,2,7,6
17502,9380,237,0,1,0,0,8.4,1,3,25,2,2,15
18537,8544,274,0,0.8,3,2,9.3,1,3,22,5,4,11
18930,8869,288,0,0.833333,2,0,8.4,1,12,26,4,3,16
16183,8408,193,0,0.8,2,1,6.6,1,6,16,1,7,16
17167,9526,227,0,1,0,0,9.8,1,25,20,2,3,5
16499,8380,205,0,1,0,0,7,1,2,29,4,1,7
15129,9767,157,0,1,0,0,7.9,1,3,23,3,7,13
16984,8622,222,0,0.916666,1,0,4.7,0,12,20,3,1,15
18212,9620,263,0,0.833333,2,1,4.4,0,9,16,4,5,11
16735,9413,214,0,1,0,0,8.7,1,8,15,1,7,16
15947,8126,188,0,1,0,0,4.4,0,8,17,5,5,2
17990,8741,254,0,1,0,0,3.1,0,7,16,1,10,9
18502,9053,272,0,0.9,1,0,3.5,0,18,20,1,7,6
15208,9002,159,0,0.75,3,1,8.6,1,4,18,4,8,5
15597,9588,173,0,0.916666,1,0,5.2,1,8,14,4,9,8
17144,9314,226,0,0.8,3,1,3.1,0,22,27,5,10,13
17980,8237,253,0,1,0,0,5.1,1,7,15,1,2,11
18887,9776,288,0,0.833333,2,1,9.7,1,20,27,4,3,16
18688,8227,281,0,1,0,0,7.4,1,6,20,3,2,4
18806,9529,285,0,0.9,1,0,6.9,1,7,29,2,4,13
18141,8424,261,0,0.933333,1,0,7.6,1,17,27,5,1,12
18240,8683,264,0,1,0,0,3.1,0,15,17,1,9,4
16446,9779,203,0,0.666666,4,2,3.1,0,17,15,3,8,10
18724,9156,282,0,0.9,1,0,8.8,1,13,25,1,6,11
17054,9723,224,0,1,0,0,5.2,1,16,23,3,7,16
17083,9172,224,0,1,0,0,7.5,1,11,19,3,7,16
18279,9245,266,0,0.7,3,1,4.5,0,16,27,1,2,7
17338,9702,233,1,0.666666,4,0,3.5,0,19,24,4,5,4
19032,8471,292,0,1,0,0,6.6,1,25,24,4,3,4
18052,8105,257,0,0.916666,1,0,7.9,1,24,21,3,8,10
15992,9257,189,0,0.7,3,0,7.5,1,1,28,1,1,16
15121,8914,156,1,0.733333,4,0,7.4,1,24,26,5,5,15
18518,8206,273,0,1,0,0,8.2,1,26,24,2,7,6
16234,8200,194,0,0.8,2,0,3.8,0,7,20,2,9,15
18171,8755,262,1,0.833333,2,0,3.3,0,10,19,3,7,2
16110,9114,191,0,0.866666,2,0,8.8,1,7,22,5,9,14
17347,9068,233,0,1,0,0,4.8,0,19,24,4,5,4
15555,8499,171,0,1,0,0,8.1,1,13,18,5,8,5
16124,8563,191,0,0.866666,2,0,3.3,0,3,14,5,9,14
16131,8533,192,1,0.6,4,0,6.5,1,10,24,2,9,10
15332,8585,163,0,1,0,0,9.1,1,18,28,2,1,16
18782,8113,284,0,0.916666,1,0,8.1,1,21,20,4,2,12
16543,8391,207,0,1,0,0,7.5,1,22,17,2,8,7
17472,9239,236,0,1,0,0,8.1,1,23,24,4,10,6
15780,8448,181,0,1,0,0,7.3,1,1,29,4,2,3
16911,8777,220,1,0.833333,2,0,7.5,1,21,21,4,6,11
15580,9903,172,1,0.6,4,0,4.8,0,13,15,1,3,12
15774,9704,181,0,1,0,0,4.8,0,22,25,4,2,3
18071,8170,258,0,1,0,0,8.7,1,1,23,3,2,12
18999,8513,291,0,1,0,0,3,0,26,18,2,8,6
17357,8624,233,1,0.666666,4,0,6.6,1,21,17,4,5,4
17830,9602,247,0,1,0,0,9.9,1,2,25,2,6,1
18211,8808,263,0,0.833333,2,1,3.2,0,22,19,4,5,11
18650,8056,278,0,1,0,0,9,1,5,30,1,4,2
18468,9439,271,0,0.8,2,1,5.8,1,12,17,2,5,13
16393,8322,201,0,0.833333,2,0,6,1,11,29,4,5,15
17476,9156,236,0,1,0,0,8.5,1,7,24,4,10,6
15288,9415,162,0,0.9,1,0,9.5,1,19,16,1,4,4
15781,8531,181,0,1,0,0,5.3,1,25,17,4,2,3
16871,8724,219,0,0.75,3,0,6.2,1,12,19,4,6,4
16062,8305,189,0,0.9,1,0,3.9,0,9,17,1,1,16
16298,8030,198,0,0.8,3,1,5.6,1,26,24,5,3,14
19066,9690,293,0,0.866666,2,0,3.7,0,25,16,5,10,11
18824,9681,285,1,0.5,5,1,4.7,0,5,23,2,4,13
15536,9607,170,0,0.6,4,1,4,0,15,27,2,3,1
17091,8194,224,0,1,0,0,4.4,0,25,14,3,7,16
17008,8899,224,0,0.833333,2,1,6.4,1,18,24,3,7,16
16364,9589,200,0,0.833333,2,1,4.3,0,11,16,4,10,15
16829,9862,217,1,0.8,2,0,6.1,1,29,19,2,7,13
16980,9935,222,0,0.833333,2,1,3.8,0,14,26,3,1,15
17211,8362,229,0,0.833333,2,1,5.5,1,4,21,3,2,2
16480,8240,205,0,0.916666,1,0,4.3,0,29,29,4,1,7
16461,9146,204,0,0.9,1,0,4.2,0,12,29,2,3,2
16351,9085,199,1,0.4,6,1,6.4,1,3,15,1,10,2
17795,8517,247,0,0.8,2,1,4.6,0,25,25,2,6,1
16447,8524,204,0,0.9,1,0,8.1,1,18,25,2,3,2
16118,9686,191,0,0.866666,2,1,4.7,0,18,19,5,9,14
16955,8329,221,0,0.916666,1,0,5.4,1,21,18,4,3,6
19191,9307,298,0,0.8,2,1,9.2,1,11,19,1,6,11
15621,9224,175,0,0.8,2,0,8.7,1,11,24,1,8,14
16618,8651,211,0,0.8,3,0,4.1,0,3,17,5,10,12
19160,8051,298,0,0.8,2,2,3.5,0,18,17,1,6,11
16902,9786,220,1,0.666666,4,0,6.2,1,24,29,4,6,11
16870,9448,219,0,0.75,3,0,6.7,1,3,20,4,6,4
15841,8338,183,0,1,0,0,4.5,0,28,16,3,2,1
17404,9152,234,1,0.583333,5,1,5.5,1,20,18,3,6,16
17163,9564,227,0,1,0,0,9.3,1,10,17,2,3,5
18170,8280,262,0,0.916666,1,1,8.2,1,9,26,3,7,2
16773,9642,215,0,0.833333,2,0,8,1,11,26,4,1,12
17763,8001,246,0,0.9,1,1,3.5,0,21,14,1,9,16
18200,8630,263,0,0.916666,1,0,7.6,1,6,24,4,5,11
18394,9325,268,0,1,0,0,7.9,1,18,29,1,4,16
16622,9368,211,0,0.933333,1,0,4.8,0,10,28,5,10,12
15967,9116,188,0,0.8,3,2,4.3,0,2,25,5,5,2
18105,8356,259,0,0.833333,2,1,9.1,1,23,14,3,7,4
18308,8637,266,0,0.8,2,0,8.1,1,16,23,1,2,7
15485,9447,169,0,1,0,0,3.5,0,25,28,4,10,2
17916,9686,251,0,0.75,3,1,6.6,1,23,20,3,2,5
15273,8733,161,0,0.866666,2,0,3.7,0,17,25,5,8,3
18389,8164,268,0,0.9,1,0,3.2,0,28,19,1,4,16
15470,9902,168,0,1,0,0,6.1,1,9,25,3,5,9
16278,8124,197,0,1,0,0,4.4,0,24,22,5,10,10
17370,9501,234,0,0.833333,2,0,6.7,1,7,23,3,6,16
17577,8284,241,0,0.916666,1,0,6.5,1,28,22,4,1,9
17940,9739,252,0,0.933333,1,0,9.7,1,15,25,5,7,4
16122,9959,191,0,0.866666,2,0,10,1,24,28,5,9,14
18786,9521,284,0,0.833333,2,0,5.2,1,15,24,4,2,12
16190,9189,193,0,0.9,1,0,7.5,1,5,29,1,7,16
17626,9055,243,0,0.866666,2,0,7.9,1,17,24,5,8,13
15740,8319,180,0,0.75,3,1,4.4,0,18,22,3,5,12
18443,8301,270,0,0.8,2,0,9.9,1,19,17,1,2,12
19067,8707,293,0,1,0,0,4.5,0,11,14,5,10,11
15906,9519,187,0,0.833333,2,0,6.8,1,11,23,4,4,11
17826,9412,247,0,1,0,0,4.1,0,22,17,2,6,1
19038,9162,292,0,0.916666,1,0,9.7,1,7,23,4,3,4
16271,9422,196,0,0.9,1,1,4.3,0,16,29,2,4,5
16846,8044,218,1,0.6,4,0,3.1,0,8,23,2,8,11
18153,9714,262,1,0.833333,2,0,4.6,0,14,26,3,7,2
16728,9399,214,0,0.9,1,0,5.2,1,25,23,1,7,16
18344,9515,268,0,0.8,2,2,5.7,1,4,16,1,4,16
16759,8143,214,0,0.9,1,0,3.6,0,27,17,1,7,16
16486,8311,205,0,0.916666,1,0,5,1,25,30,4,1,7
18510,9113,273,0,0.8,2,1,5.2,1,1,19,2,7,6
17381,8328,234,0,1,0,0,8.2,1,28,28,3,6,16
17580,8823,241,1,0.916666,1,0,6.3,1,10,21,4,1,9
17718,8445,246,0,0.9,1,0,5,1,16,28,1,9,16
18719,9828,282,0,0.8,2,1,8.3,1,13,22,1,6,11
16466,8092,204,0,0.9,1,0,5.3,1,10,29,2,3,2
18155,9104,262,0,0.916666,1,0,7.2,1,12,18,3,7,2
17629,8338,243,0,0.933333,1,0,6.7,1,17,16,5,8,13
15513,9459,169,1,0.833333,2,0,2.1,0,22,20,4,10,2
15625,8875,175,0,0.9,1,1,4.2,0,6,27,1,8,14
18712,8743,282,0,0.9,1,0,3.5,0,5,20,1,6,11
15636,8170,175,0,0.8,2,1,9.6,1,12,24,1,8,14
17102,9082,224,0,0.833333,2,1,4.4,0,21,16,3,7,16
16526,9462,207,0,0.9,1,1,8.6,1,8,16,2,8,7
16674,9925,213,0,0.6,4,1,9.3,1,26,22,2,2,4
17219,9435,229,0,1,0,0,9.4,1,28,21,3,2,2
17274,8517,230,0,0.833333,2,1,6.9,1,9,24,3,4,11
18959,8414,289,0,1,0,0,7.4,1,16,29,2,7,12
16717,8499,214,0,1,0,0,6.6,1,6,18,1,7,16
16780,8439,216,0,0.933333,1,0,9.1,1,7,21,5,9,4
18238,9336,264,0,1,0,0,8.3,1,27,23,1,9,4
17913,8411,251,0,0.916666,1,0,6.1,1,3,20,3,2,5
16286,9285,197,0,0.866666,2,1,4.6,0,21,24,5,10,10
17265,9785,230,0,0.833333,2,1,4.8,0,24,23,3,4,11
17371,9425,234,0,1,0,0,7.7,1,14,26,3,6,16
16860,8151,218,0,0.9,1,1,9.1,1,8,29,2,8,11
17550,8383,240,0,1,0,0,9.1,1,15,29,4,5,4
19174,8856,298,0,1,0,0,8,1,28,15,1,6,11
16380,9571,201,0,0.916666,1,0,4.6,0,22,28,4,5,15
16954,8429,221,0,1,0,0,4.3,0,16,16,4,3,6
18575,8355,275,0,0.9,1,1,3.3,0,28,20,1,9,15
15709,9771,179,0,0.833333,2,1,9.1,1,26,18,4,4,2
15728,9066,179,0,0.583333,5,1,8.9,1,13,17,4,4,2
15206,8482,159,0,1,0,0,8.8,1,11,17,4,8,5
18053,8036,257,0,0.916666,1,0,3.6,0,15,28,3,8,10
16197,8389,193,0,0.8,2,0,4,0,4,18,1,7,16
15154,9164,157,1,0.833333,2,0,5.9,1,25,20,3,7,13
15826,9506,183,0,1,0,0,3,0,20,22,3,2,1
16888,8477,219,0,0.916666,1,1,4.9,0,18,18,4,6,4
18198,8262,263,0,0.916666,1,0,3.4,0,24,30,4,5,11
15704,9700,179,1,0.916666,1,0,4,0,17,21,4,4,2
18323,9158,267,0,0.916666,1,0,5.2,1,1,19,3,3,9
16112,8632,191,0,0.933333,1,1,4.1,0,8,16,5,9,14
16225,9641,194,0,1,0,0,6.4,1,25,22,2,9,15
17077,8270,224,0,0.916666,1,0,7,1,10,22,3,7,16
15262,8436,161,0,0.733333,4,1,9.5,1,12,16,5,8,3
15120,9733,156,1,0.533333,7,1,7.4,1,14,20,5,5,15
17918,9235,251,0,0.916666,1,0,6.7,1,17,20,3,2,5
16319,8090,199,1,0.4,6,1,7.1,1,14,20,1,10,2
15153,8447,157,0,0.833333,2,1,4.7,0,7,15,3,7,13
15528,9049,170,0,0.8,2,0,5.8,1,21,15,2,3,1
16204,9911,193,0,1,0,0,3.2,0,17,25,1,7,16
17017,9343,224,0,0.916666,1,1,6.7,1,17,27,3,7,16
18967,8521,289,0,1,0,0,5.3,1,2,29,2,7,12
15500,9079,169,0,0.916666,1,1,4.8,0,29,25,4,10,2
17022,8087,224,0,0.916666,1,0,8.4,1,18,22,3,7,16
19169,8032,298,0,0.9,1,1,7.5,1,29,21,1,6,11
18474,9781,271,0,0.9,1,0,5.1,1,9,28,2,5,13
15362,8699,163,1,0.7,3,1,2.5,0,10,29,2,1,16
16949,8956,221,0,0.833333,2,0,8.5,1,24,21,4,3,6
18909,8202,288,1,0.75,3,0,4.5,0,5,27,4,3,16
18186,9233,263,0,1,0,0,5.5,1,7,26,4,5,11
15274,8448,161,1,0.533333,7,1,3.7,0,3,28,5,8,3
16852,8963,218,0,1,0,0,5.4,1,27,27,2,8,11
16668,9664,213,0,0.9,1,1,9.4,1,27,18,2,2,4
16468,9063,204,1,0.6,4,1,3.4,0,16,26,2,3,2
18030,8294,256,0,0.666666,5,1,9,1,16,21,5,1,9
15915,8631,187,0,0.916666,1,0,6.4,1,11,18,4,4,11
15482,9796,169,0,1,0,0,9.2,1,20,22,4,10,2
17807,8232,247,1,0.9,1,0,3.7,0,25,23,2,6,1
18448,8028,270,0,0.9,1,1,7,1,14,17,1,2,12
18353,8793,268,0,0.8,2,0,5,1,15,24,1,4,16
16641,9516,212,0,1,0,0,10,1,18,13,4,3,5
17006,8543,224,0,1,0,0,8.8,1,4,29,3,7,16
19080,9565,294,0,0.866666,2,0,5.1,1,29,22,5,4,14
15647,9669,176,0,0.8,2,0,4.6,0,20,20,1,4,6
16927,9525,220,0,1,0,0,7.5,1,29,26,4,6,11
17446,8761,235,0,1,0,0,3.2,0,28,19,1,4,12
16621,8373,211,0,0.866666,2,0,7.6,1,20,16,5,10,12
16665,8396,213,0,0.8,2,1,5.3,1,2,21,2,2,4
16803,9760,217,0,0.9,1,0,7.9,1,10,23,2,7,13
16556,9959,208,0,1,0,0,3.8,0,6,28,2,7,6
18860,9704,287,0,0.916666,1,0,4.1,0,2,24,3,1,10
18934,8107,288,0,0.833333,2,0,6.6,1,9,13,4,3,16
17951,8840,253,0,0.9,1,0,4.7,0,18,17,1,2,11
16451,9272,204,0,0.9,1,0,7.2,1,3,26,2,3,2
15835,9492,183,0,0.916666,1,0,5.8,1,7,25,3,2,1
16990,9620,223,0,0.666666,4,2,8.4,1,4,15,3,2,5
18444,8631,270,0,1,0,0,8.7,1,10,18,1,2,12
18431,9537,269,1,0.7,3,1,3.3,0,15,23,2,5,1
18350,9199,268,0,0.9,1,1,8.9,1,3,14,1,4,16
15878,9795,185,1,0.666666,4,1,7.2,1,14,27,3,9,5
17786,9226,246,0,0.9,1,0,6,1,21,28,1,9,16
17952,9436,253,0,0.9,1,1,4,0,3,27,1,2,11
18092,8458,259,0,0.916666,1,1,8.8,1,20,19,3,7,4
